E(MeV)	"LU-176(N,TOT)"
9.10213E-10	7744.11
1.00400E-09	7382.93
1.03981E-09	7264.04
1.10745E-09	7039.51
1.22156E-09	6713.05
1.34742E-09	6402.74
1.48625E-09	6107.86
1.63939E-09	5827.7
1.80831E-09	5561.58
2.00870E-09	5291.28
2.23120E-09	5035.76
2.47845E-09	4794.09
2.54888E-09	4735.54
2.75297E-09	4565.85
3.05805E-09	4350.22
3.39677E-09	4146.82
3.77320E-09	3954.93
3.85323E-09	3920.32
4.19113E-09	3774.23
4.65558E-09	3604.1
5.17125E-09	3444.27
5.74431E-09	3294.22
6.38057E-09	3153.69
6.47059E-09	3136.94
7.08765E-09	3022.18
7.87271E-09	2899.46
8.74515E-09	2785.14
9.71379E-09	2679.16
1.07902E-08	2581.36
1.20700E-08	2486.11
1.24999E-08	2460.32
1.35014E-08	2400.24
1.51027E-08	2323.69
1.68939E-08	2256.49
1.88974E-08	2198.95
2.11387E-08	2151.7
2.33167E-08	2120.27
2.36457E-08	2115.52
2.52419E-08	2099.96
2.53000E-08	2099.5
2.83005E-08	2083.56
3.00864E-08	2081.03
3.35923E-08	2088.96
3.46759E-08	2096.23
3.73131E-08	2113.93
4.11577E-08	2155.85
4.21898E-08	2171.33
4.27851E-08	2180.25
4.50827E-08	2214.7
4.88260E-08	2286.2
4.90360E-08	2290.22
5.29625E-08	2381.81
5.38569E-08	2406.63
5.68054E-08	2488.45
5.85797E-08	2545.94
6.05034E-08	2608.28
6.23901E-08	2678.61
6.39907E-08	2738.28
6.59861E-08	2823.46
6.76790E-08	2895.73
6.93040E-08	2974.83
7.10785E-08	3061.21
7.22789E-08	3126.98
7.41296E-08	3228.38
7.48534E-08	3272.84
7.73115E-08	3423.81
7.75234E-08	3438.47
8.02847E-08	3629.51
8.06301E-08	3653.41
8.25660E-08	3803.45
8.35062E-08	3876.32
8.49122E-08	3997.68
8.64806E-08	4133.06
8.67176E-08	4155.93
8.85570E-08	4333.44
8.95654E-08	4430.76
9.04399E-08	4524.34
9.21104E-08	4703.1
9.23583E-08	4732.25
9.43220E-08	4963.17
9.47278E-08	5010.89
9.63227E-08	5217.31
9.74195E-08	5359.28
9.83707E-08	5494.87
1.00188E-07	5753.9
1.00457E-07	5796.21
1.01875E-07	6018.62
1.03035E-07	6200.68
1.03312E-07	6248.46
1.04769E-07	6499.66
1.05962E-07	6705.28
1.06248E-07	6758.98
1.07746E-07	7041.24
1.08973E-07	7272.3
1.09267E-07	7332.08
1.10808E-07	7646.4
1.12070E-07	7903.7
1.12371E-07	7969.72
1.13957E-07	8316.81
1.15565E-07	8668.85
1.16062E-07	8777.72
1.17195E-07	9035.25
1.18848E-07	9411.04
1.21375E-07	9985.46
1.23617E-07	10495.2
1.23950E-07	10565.8
1.26239E-07	11051.6
1.27472E-07	11286
1.28923E-07	11561.9
1.31658E-07	11992.6
1.32944E-07	12150
1.33516E-07	12220
1.35399E-07	12388.1
1.35770E-07	12407.6
1.37309E-07	12488.1
1.37686E-07	12492.9
1.39247E-07	12512.8
1.39628E-07	12502.1
1.41175E-07	12458.8
1.41862E-07	12414.2
1.42799E-07	12353.2
1.43863E-07	12245.3
1.44814E-07	12148.8
1.45893E-07	11998.9
1.46857E-07	11864.8
1.47951E-07	11675.9
1.48929E-07	11507
1.50038E-07	11283.7
1.51030E-07	11084
1.51770E-07	10915
1.54181E-07	10363.7
1.54234E-07	10351.6
1.56356E-07	9819.96
1.58562E-07	9267.23
1.58616E-07	9253.58
1.61925E-07	8415.87
1.64274E-07	7821.09
1.65368E-07	7560.69
1.67759E-07	6991.53
1.70126E-07	6464.53
1.72526E-07	5964.24
1.74960E-07	5493.48
1.77428E-07	5053.76
1.78610E-07	4861.07
1.79931E-07	4645.56
1.81835E-07	4359.39
1.83685E-07	4100.78
1.83757E-07	4090.7
1.85697E-07	3838.91
1.87590E-07	3611.02
1.87655E-07	3603.27
1.89640E-07	3382.04
1.91569E-07	3183.25
1.91645E-07	3175.5
1.93668E-07	2982.83
1.95643E-07	2809.07
1.95710E-07	2803.16
1.97781E-07	2634.92
1.99792E-07	2484.02
1.99871E-07	2478.14
2.01981E-07	2332.07
2.04040E-07	2200.41
2.04110E-07	2195.93
2.06270E-07	2068.46
2.08368E-07	1954.09
2.08450E-07	1949.64
2.10651E-07	1838.85
2.12799E-07	1738.88
2.12872E-07	1735.48
2.15124E-07	1638.57
2.17313E-07	1551.49
2.17398E-07	1548.09
2.20465E-07	1436.58
2.23488E-07	1337.37
2.23575E-07	1334.49
2.26730E-07	1240.96
2.29838E-07	1157.57
2.29928E-07	1155.15
2.33172E-07	1076.38
2.36369E-07	1006.01
2.36462E-07	1003.96
2.39798E-07	937.346
2.43086E-07	877.7
2.43181E-07	875.97
2.46612E-07	819.39
2.49993E-07	768.626
2.50091E-07	767.154
2.53619E-07	718.904
2.57198E-07	674.269
2.58910E-07	654.76
2.60826E-07	632.95
2.64506E-07	594.663
2.68132E-07	560.141
2.68238E-07	559.139
2.72022E-07	526.168
2.75860E-07	495.517
2.77697E-07	482.056
2.79752E-07	467.009
2.83698E-07	440.47
2.87701E-07	415.735
2.89617E-07	404.844
2.91760E-07	392.671
2.95876E-07	371.147
3.00050E-07	351.037
3.02048E-07	342.163
3.04283E-07	332.244
3.08576E-07	314.67
3.12930E-07	298.219
3.15014E-07	290.947
3.17345E-07	282.819
3.21822E-07	268.392
3.26362E-07	254.855
3.30837E-07	242.499
3.30967E-07	242.141
3.37987E-07	224.525
3.45173E-07	208.417
3.47472E-07	203.81
3.52495E-07	193.755
3.59989E-07	180.327
3.67499E-07	168.271
3.67626E-07	168.068
3.75442E-07	156.829
3.83406E-07	146.546
3.91404E-07	137.263
3.91558E-07	137.085
3.99863E-07	128.425
4.08365E-07	120.443
4.16884E-07	113.234
4.17027E-07	113.113
4.25894E-07	106.356
4.34928E-07	100.143
4.44175E-07	94.397
4.47133E-07	92.7357
4.53597E-07	89.1132
4.63241E-07	84.2257
4.73067E-07	79.7213
4.82936E-07	75.6301
4.83126E-07	75.5517
4.93373E-07	71.719
5.03864E-07	68.1631
5.14551E-07	64.875
5.25285E-07	61.8788
5.25492E-07	61.8215
5.36638E-07	59.0092
5.48048E-07	56.4023
5.59673E-07	54.002
5.71573E-07	51.7824
5.79409E-07	50.4821
5.87814E-07	49.0933
6.04517E-07	46.6795
6.21695E-07	44.5163
6.39361E-07	42.5858
6.48127E-07	41.7585
6.57528E-07	40.8759
6.76212E-07	39.372
6.95427E-07	38.0575
7.15188E-07	36.9228
7.35510E-07	35.9605
7.40408E-07	35.7742
7.56410E-07	35.1697
7.77904E-07	34.5451
8.00009E-07	34.0855
8.22741E-07	33.7936
8.43218E-07	33.6796
8.67178E-07	33.7237
8.91819E-07	33.9687
9.17161E-07	34.4321
9.36661E-07	34.9408
9.56529E-07	35.6034
9.76867E-07	36.443
9.86708E-07	36.9358
9.97588E-07	37.4771
1.01880E-06	38.7426
1.04041E-06	40.2772
1.06253E-06	42.1399
1.07323E-06	43.1775
1.07752E-06	43.5913
1.09272E-06	45.2366
1.10814E-06	47.1101
1.12377E-06	49.2474
1.13509E-06	50.9926
1.13963E-06	51.6894
1.15570E-06	54.4871
1.16791E-06	56.8634
1.18022E-06	59.516
1.19217E-06	62.3711
1.19271E-06	62.4998
1.20531E-06	65.8449
1.21804E-06	69.6157
1.23088E-06	73.8843
1.23463E-06	75.2895
1.24390E-06	78.7579
1.25265E-06	82.3841
1.26145E-06	86.3634
1.27032E-06	90.7442
1.27867E-06	95.2695
1.27925E-06	95.5832
1.28824E-06	100.944
1.29730E-06	106.909
1.30642E-06	113.573
1.31560E-06	121.047
1.32485E-06	129.47
1.33183E-06	136.514
1.33356E-06	138.419
1.33882E-06	144.229
1.34590E-06	152.828
1.35298E-06	162.312
1.36010E-06	172.86
1.36184E-06	175.733
1.36728E-06	184.699
1.37447E-06	197.917
1.38106E-06	211.522
1.38172E-06	212.885
1.38657E-06	223.962
1.39143E-06	235.992
1.39567E-06	247.428
1.39629E-06	249.088
1.40121E-06	263.597
1.40466E-06	274.746
1.40614E-06	279.497
1.40879E-06	288.906
1.41106E-06	296.977
1.41598E-06	316.25
1.41703E-06	320.785
1.42098E-06	337.892
1.42389E-06	351.923
1.42597E-06	361.96
1.42972E-06	381.827
1.43075E-06	387.781
1.43346E-06	403.455
1.43532E-06	415.273
1.43796E-06	432.069
1.43949E-06	442.8
1.44197E-06	460.285
1.44365E-06	473.387
1.44597E-06	491.467
1.44782E-06	507.37
1.44998E-06	526.039
1.45198E-06	545.129
1.45347E-06	559.316
1.45495E-06	574.806
1.45644E-06	590.303
1.45793E-06	607.142
1.45941E-06	623.989
1.46090E-06	642.333
1.46239E-06	660.686
1.46388E-06	680.709
1.46536E-06	700.743
1.46685E-06	722.645
1.46834E-06	744.559
1.46982E-06	768.563
1.47131E-06	792.581
1.47280E-06	818.939
1.47429E-06	845.311
1.47503E-06	859.807
1.47726E-06	903.315
1.47949E-06	951.241
1.48023E-06	967.226
1.48172E-06	1002.47
1.48321E-06	1037.73
1.48395E-06	1057.18
1.48618E-06	1115.58
1.48841E-06	1180.08
1.48916E-06	1201.6
1.49064E-06	1249.11
1.49213E-06	1296.65
1.49287E-06	1322.88
1.49511E-06	1401.61
1.49734E-06	1488.46
1.49808E-06	1517.42
1.49957E-06	1581.16
1.50105E-06	1644.94
1.50180E-06	1679.93
1.50403E-06	1784.97
1.50626E-06	1899.89
1.50700E-06	1938.23
1.50849E-06	2021.69
1.50998E-06	2105.2
1.51072E-06	2150.42
1.51295E-06	2286.14
1.51518E-06	2432.25
1.51593E-06	2480.99
1.51741E-06	2585.08
1.51890E-06	2689.22
1.51964E-06	2744.36
1.52187E-06	2909.87
1.52470E-06	3131.96
1.52634E-06	3260.62
1.52738E-06	3346.51
1.53005E-06	3567.48
1.53407E-06	3899.11
1.53972E-06	4366.11
1.54002E-06	4388.85
1.54418E-06	4707.31
1.54693E-06	4897.81
1.54715E-06	4913.25
1.55028E-06	5102.54
1.55072E-06	5129.55
1.55340E-06	5265.27
1.55400E-06	5290.03
1.55578E-06	5364.17
1.55697E-06	5401.09
1.55875E-06	5456.33
1.55994E-06	5479.38
1.56133E-06	5506.05
1.56292E-06	5516.58
1.56458E-06	5527.44
1.56559E-06	5520.84
1.56726E-06	5509.81
1.56827E-06	5493.04
1.56916E-06	5478.16
1.57095E-06	5430.09
1.57214E-06	5397.91
1.57392E-06	5328.58
1.57511E-06	5282.27
1.57838E-06	5117.92
1.58106E-06	4955.89
1.58166E-06	4919.83
1.58433E-06	4736.05
1.58463E-06	4715.6
1.58731E-06	4512.53
1.58909E-06	4376.99
1.59177E-06	4157.65
1.59474E-06	3913.74
1.59653E-06	3767.29
1.60069E-06	3424.7
1.60248E-06	3277.83
1.60694E-06	2927.8
1.60991E-06	2707.09
1.61259E-06	2519.23
1.61289E-06	2498.37
1.61586E-06	2302.72
1.61854E-06	2138.78
1.61883E-06	2120.58
1.62181E-06	1952.18
1.62300E-06	1890.18
1.62478E-06	1797.27
1.62746E-06	1669.58
1.62776E-06	1655.41
1.63073E-06	1526
1.63192E-06	1478.88
1.63370E-06	1408.26
1.63638E-06	1312.03
1.63668E-06	1301.35
1.63965E-06	1204.45
1.64084E-06	1169.3
1.64263E-06	1116.64
1.64530E-06	1045.04
1.64560E-06	1037.1
1.64858E-06	965.049
1.64977E-06	938.895
1.65155E-06	899.716
1.65423E-06	846.329
1.65452E-06	840.404
1.65750E-06	786.516
1.65869E-06	766.877
1.66047E-06	737.458
1.66315E-06	697.184
1.66345E-06	692.714
1.66612E-06	655.933
1.66642E-06	651.851
1.66940E-06	614.461
1.67207E-06	583.573
1.67237E-06	580.147
1.67534E-06	548.64
1.67802E-06	522.664
1.67876E-06	515.461
1.68263E-06	481.479
1.68427E-06	468.472
1.68650E-06	450.769
1.69036E-06	422.925
1.69051E-06	421.945
1.69379E-06	400.4
1.69767E-06	377.187
1.69827E-06	373.596
1.70274E-06	349.453
1.70663E-06	330.465
1.70722E-06	327.599
1.71170E-06	307.789
1.71560E-06	292.06
1.71617E-06	289.745
1.72071E-06	273.069
1.72465E-06	259.842
1.72525E-06	257.813
1.72979E-06	243.844
1.73374E-06	232.672
1.73433E-06	230.999
1.74038E-06	215.445
1.74283E-06	209.785
1.74652E-06	201.267
1.75266E-06	188.482
1.75513E-06	183.831
1.75880E-06	176.918
1.76494E-06	166.421
1.76742E-06	162.554
1.77116E-06	156.739
1.77739E-06	147.909
1.77989E-06	144.664
1.78361E-06	139.839
1.78984E-06	132.439
1.79235E-06	129.689
1.79615E-06	125.553
1.80246E-06	119.218
1.80878E-06	113.369
1.81132E-06	111.189
1.81509E-06	107.97
1.82469E-06	100.513
1.83046E-06	96.5014
1.83430E-06	93.8481
1.84394E-06	87.8466
1.84979E-06	84.5708
1.85368E-06	82.3956
1.86342E-06	77.4804
1.86929E-06	74.7942
1.87325E-06	72.9904
1.88313E-06	68.902
1.89300E-06	65.1751
1.89566E-06	64.2571
1.90302E-06	61.7337
1.91303E-06	58.586
1.92241E-06	55.8801
1.92309E-06	55.683
1.93325E-06	53.0001
1.94679E-06	49.7472
1.94953E-06	49.156
1.96052E-06	46.7955
1.97426E-06	44.138
1.98818E-06	41.7006
1.99098E-06	41.2565
2.00211E-06	39.5018
2.01623E-06	37.4766
2.03036E-06	35.6297
2.03321E-06	35.2885
2.04468E-06	33.9281
2.05900E-06	32.3727
2.07353E-06	30.9257
2.07644E-06	30.6587
2.08805E-06	29.6044
2.10278E-06	28.373
2.11751E-06	27.2374
2.13245E-06	26.1732
2.13544E-06	25.9792
2.15496E-06	24.7305
2.17768E-06	23.4324
2.20072E-06	22.2531
2.21151E-06	21.7571
2.22398E-06	21.1905
2.24746E-06	20.2305
2.27116E-06	19.3555
2.29039E-06	18.7127
2.29519E-06	18.5546
2.31944E-06	17.8304
2.34393E-06	17.1672
2.36864E-06	16.5574
2.38871E-06	16.105
2.39371E-06	15.994
2.41901E-06	15.4811
2.45313E-06	14.8578
2.48774E-06	14.2957
2.50869E-06	13.9924
2.52284E-06	13.7916
2.55843E-06	13.3415
2.59453E-06	12.9343
2.63113E-06	12.5656
2.66825E-06	12.2317
2.67200E-06	12.2015
2.70590E-06	11.9367
2.74407E-06	11.6717
2.78279E-06	11.4337
2.82205E-06	11.2215
2.86186E-06	11.0317
2.90224E-06	10.8634
2.90632E-06	10.8488
2.94318E-06	10.7214
2.98470E-06	10.601
3.02681E-06	10.5014
3.06952E-06	10.423
3.12874E-06	10.3509
3.17288E-06	10.3252
3.21765E-06	10.3243
3.26304E-06	10.3506
3.30908E-06	10.4073
3.35576E-06	10.4987
3.40311E-06	10.6306
3.43838E-06	10.7582
3.43912E-06	10.7608
3.47546E-06	10.9171
3.51215E-06	11.1096
3.54919E-06	11.3449
3.58674E-06	11.6325
3.61109E-06	11.8499
3.61195E-06	11.8573
3.63734E-06	12.1084
3.66291E-06	12.3958
3.68866E-06	12.7262
3.71459E-06	13.1069
3.73990E-06	13.5332
3.74070E-06	13.5464
3.76699E-06	14.0498
3.78685E-06	14.4819
3.80671E-06	14.966
3.81923E-06	15.3089
3.82685E-06	15.5155
3.84699E-06	16.1322
3.86723E-06	16.8351
3.88765E-06	17.6442
3.90043E-06	18.2116
3.90127E-06	18.2482
3.91488E-06	18.9069
3.92869E-06	19.6437
3.94250E-06	20.4591
3.95546E-06	21.3086
3.95631E-06	21.3635
3.97011E-06	22.3645
3.98412E-06	23.5001
3.99812E-06	24.7766
4.00862E-06	25.8405
4.01127E-06	26.1349
4.01912E-06	27.0048
4.02968E-06	28.2927
4.04033E-06	29.7314
4.05098E-06	31.3298
4.05361E-06	31.771
4.06163E-06	33.107
4.07228E-06	35.0956
4.08293E-06	37.3326
4.09013E-06	39.007
4.09635E-06	40.5834
4.09733E-06	40.8294
4.10453E-06	42.814
4.11173E-06	44.9863
4.11893E-06	47.371
4.12525E-06	49.6759
4.12613E-06	49.996
4.13333E-06	52.8915
4.14053E-06	56.1021
4.14616E-06	58.8629
4.15179E-06	61.8725
4.15415E-06	63.2487
4.15742E-06	65.16
4.16305E-06	68.7626
4.16868E-06	72.7248
4.17431E-06	77.0972
4.17994E-06	81.9393
4.18541E-06	87.168
4.18557E-06	87.3222
4.19083E-06	92.9114
4.19609E-06	99.1278
4.20135E-06	106.068
4.20661E-06	113.848
4.20883E-06	117.474
4.21011E-06	119.567
4.21362E-06	125.768
4.21806E-06	134.403
4.22183E-06	142.533
4.22251E-06	144.012
4.22584E-06	151.943
4.22918E-06	160.561
4.23209E-06	168.796
4.23311E-06	171.705
4.23653E-06	182.354
4.23893E-06	190.492
4.23995E-06	193.983
4.24337E-06	206.692
4.24577E-06	216.411
4.24679E-06	220.579
4.25021E-06	235.753
4.25090E-06	239.065
4.25363E-06	252.324
4.25603E-06	264.975
4.25705E-06	270.401
4.26047E-06	290.096
4.26116E-06	294.378
4.26389E-06	311.52
4.26577E-06	324.304
4.26731E-06	334.771
4.27014E-06	355.534
4.27073E-06	359.941
4.27398E-06	385.703
4.27450E-06	390.053
4.27706E-06	411.819
4.27886E-06	428.278
4.28168E-06	454.159
4.28176E-06	455.014
4.28467E-06	484.11
4.28647E-06	502.092
4.28783E-06	516.95
4.29126E-06	554.12
4.29160E-06	557.839
4.29467E-06	593.793
4.29673E-06	617.777
4.29810E-06	634.706
4.30152E-06	677.053
4.30186E-06	681.29
4.30494E-06	721.347
4.30836E-06	765.88
4.31041E-06	792.614
4.31178E-06	810.562
4.31691E-06	877.91
4.32204E-06	945.305
4.32238E-06	949.801
4.32751E-06	1013.14
4.32871E-06	1026.74
4.33264E-06	1071.44
4.33777E-06	1122.87
4.34153E-06	1155.23
4.34564E-06	1184.57
4.34940E-06	1205.43
4.35111E-06	1212.24
4.35282E-06	1219.04
4.35702E-06	1228.45
4.35952E-06	1230.11
4.36274E-06	1227.76
4.36298E-06	1227.58
4.36718E-06	1216.98
4.36787E-06	1214.08
4.37060E-06	1202.46
4.37334E-06	1186.83
4.37402E-06	1182.92
4.37778E-06	1155.04
4.37915E-06	1144.88
4.38291E-06	1110.25
4.38428E-06	1097.63
4.38805E-06	1057.43
4.38890E-06	1048.28
4.38941E-06	1042.79
4.39283E-06	1002.87
4.39318E-06	998.606
4.39831E-06	934.534
4.39967E-06	917.429
4.40344E-06	868.367
4.40857E-06	801.406
4.41506E-06	716.52
4.41541E-06	712.261
4.42191E-06	631.275
4.42567E-06	587.219
4.42704E-06	571.194
4.43217E-06	515.123
4.43559E-06	480.177
4.43901E-06	447.253
4.44243E-06	416.376
4.44585E-06	387.536
4.44619E-06	384.853
4.44927E-06	360.717
4.45269E-06	335.843
4.45611E-06	312.835
4.45645E-06	310.712
4.45953E-06	291.627
4.46295E-06	272.099
4.46637E-06	254.145
4.46671E-06	252.496
4.46979E-06	237.682
4.47321E-06	222.58
4.47663E-06	208.732
4.47697E-06	207.463
4.48005E-06	196.058
4.48347E-06	184.441
4.48689E-06	173.785
4.48723E-06	172.813
4.49082E-06	162.628
4.49416E-06	153.987
4.49544E-06	150.925
4.49749E-06	146.035
4.50194E-06	136.387
4.50638E-06	127.702
4.50707E-06	126.483
4.50989E-06	121.468
4.51339E-06	115.713
4.51733E-06	109.848
4.51865E-06	107.877
4.52391E-06	100.889
4.52917E-06	94.6212
4.53101E-06	92.6477
4.53443E-06	88.9888
4.53999E-06	83.6306
4.54554E-06	78.797
4.54640E-06	78.1236
4.55110E-06	74.4336
4.55666E-06	70.4718
4.56179E-06	67.138
4.56222E-06	66.8612
4.56777E-06	63.5708
4.57333E-06	60.5537
4.57718E-06	58.6332
4.57889E-06	57.7832
4.58659E-06	54.3109
4.59428E-06	51.1957
4.60067E-06	48.8652
4.60198E-06	48.3911
4.60967E-06	45.8664
4.61737E-06	43.5755
4.62497E-06	41.5155
4.62506E-06	41.4899
4.63276E-06	39.5955
4.64045E-06	37.8611
4.64864E-06	36.1723
4.64926E-06	36.0536
4.65682E-06	34.6335
4.66500E-06	33.2219
4.67379E-06	31.855
4.67728E-06	31.3154
4.68955E-06	29.632
4.70183E-06	28.1324
4.70664E-06	27.6063
4.71422E-06	26.7853
4.72667E-06	25.5756
4.73912E-06	24.4871
4.75157E-06	23.5042
4.75639E-06	23.1594
4.76401E-06	22.6187
4.77231E-06	22.0763
4.78915E-06	21.0763
4.78970E-06	21.0469
4.80598E-06	20.2019
4.82281E-06	19.4288
4.83964E-06	18.7428
4.85671E-06	18.1244
4.85728E-06	18.1061
4.87378E-06	17.5811
4.89085E-06	17.0978
4.90792E-06	16.6671
4.92581E-06	16.277
4.93389E-06	16.1032
4.95985E-06	15.6373
4.98594E-06	15.2496
5.01227E-06	14.9295
5.03054E-06	14.7515
5.03860E-06	14.6741
5.06518E-06	14.4773
5.09189E-06	14.3332
5.12406E-06	14.2263
5.12954E-06	14.215
5.15667E-06	14.1884
5.18381E-06	14.2092
5.21108E-06	14.277
5.23860E-06	14.3935
5.26612E-06	14.5599
5.28322E-06	14.6962
5.29390E-06	14.7793
5.32181E-06	15.0548
5.34972E-06	15.3937
5.37802E-06	15.8087
5.39555E-06	16.1152
5.40632E-06	16.3008
5.43476E-06	16.8818
5.46346E-06	17.5757
5.47167E-06	17.8037
5.48260E-06	18.1038
5.50173E-06	18.6916
5.52114E-06	19.3591
5.54054E-06	20.1075
5.54887E-06	20.4679
5.55995E-06	20.9433
5.57935E-06	21.8805
5.59903E-06	22.9534
5.60745E-06	23.4731
5.61871E-06	24.1642
5.63347E-06	25.1771
5.64823E-06	26.2949
5.66306E-06	27.5374
5.66657E-06	27.8642
5.67802E-06	28.9248
5.69299E-06	30.4689
5.70654E-06	32.0318
5.70796E-06	32.1945
5.72292E-06	34.1254
5.73789E-06	36.3009
5.74652E-06	37.69
5.74801E-06	37.9304
5.75813E-06	39.7025
5.76825E-06	41.6377
5.77837E-06	43.7561
5.78705E-06	45.7512
5.78849E-06	46.0807
5.79861E-06	48.6376
5.80872E-06	51.4607
5.81884E-06	54.5883
5.83013E-06	58.4904
5.83765E-06	61.3708
5.84517E-06	64.5055
5.85269E-06	67.9255
5.85330E-06	68.2299
5.86021E-06	71.6709
5.86773E-06	75.7808
5.87259E-06	78.7003
5.87525E-06	80.3067
5.88230E-06	84.9765
5.88631E-06	87.8962
5.88886E-06	89.7564
5.89543E-06	95.0056
5.89725E-06	96.6112
5.90200E-06	100.791
5.90820E-06	106.832
5.90856E-06	107.188
5.91185E-06	110.74
5.91513E-06	114.296
5.91914E-06	119.139
5.92170E-06	122.225
5.92644E-06	128.548
5.92662E-06	128.792
5.93155E-06	135.972
5.93373E-06	139.472
5.93665E-06	144.147
5.94030E-06	150.589
5.94176E-06	153.17
5.94614E-06	161.74
5.94687E-06	163.17
5.95052E-06	171.114
5.95198E-06	174.296
5.95489E-06	181.393
5.95708E-06	186.724
5.95927E-06	192.605
5.96091E-06	197.023
5.96365E-06	205.054
5.96474E-06	208.272
5.96803E-06	218.824
5.96857E-06	220.586
5.97095E-06	228.946
5.97240E-06	234.097
5.97386E-06	239.726
5.97591E-06	247.618
5.97678E-06	251.305
5.97941E-06	262.383
5.97970E-06	263.727
5.98262E-06	277.182
5.98291E-06	278.53
5.98554E-06	291.784
5.98641E-06	296.209
5.98842E-06	307.301
5.98991E-06	315.582
5.99126E-06	323.763
5.99342E-06	336.827
5.99411E-06	341.434
5.99692E-06	360.134
5.99696E-06	360.4
5.99980E-06	381.18
6.00042E-06	385.717
6.00265E-06	403.489
6.00370E-06	411.953
6.00549E-06	427.517
6.00699E-06	440.561
6.00834E-06	453.364
6.01027E-06	471.731
6.01056E-06	474.744
6.01297E-06	499.63
6.01355E-06	505.672
6.01538E-06	526.162
6.01684E-06	542.578
6.01779E-06	554.244
6.02019E-06	583.898
6.02085E-06	591.998
6.02260E-06	615.452
6.02377E-06	631.113
6.02552E-06	656.249
6.02669E-06	673.036
6.02844E-06	699.93
6.02961E-06	717.89
6.03136E-06	746.604
6.03252E-06	765.778
6.03427E-06	796.83
6.03690E-06	843.483
6.03719E-06	849.136
6.04011E-06	905.756
6.04128E-06	928.439
6.04303E-06	965.313
6.04566E-06	1020.71
6.04595E-06	1027.33
6.04887E-06	1093.67
6.05004E-06	1120.24
6.05179E-06	1162.82
6.05441E-06	1226.78
6.05470E-06	1234.31
6.05762E-06	1309.69
6.05879E-06	1339.89
6.06200E-06	1427.71
6.06463E-06	1499.67
6.06638E-06	1550.21
6.07076E-06	1676.74
6.07192E-06	1710.52
6.07659E-06	1848.83
6.08491E-06	2095.52
6.08797E-06	2186.45
6.09381E-06	2350.01
6.09615E-06	2410.34
6.09965E-06	2500.69
6.10315E-06	2580.47
6.10548E-06	2633.52
6.10782E-06	2678.94
6.10986E-06	2718.57
6.11220E-06	2755.47
6.11512E-06	2801.4
6.11628E-06	2814.7
6.12037E-06	2860.9
6.12124E-06	2867.05
6.12475E-06	2891.32
6.12549E-06	2893.32
6.12953E-06	2903.79
6.13006E-06	2902.85
6.13409E-06	2895.25
6.13438E-06	2893.55
6.13803E-06	2871.89
6.13963E-06	2856.48
6.14226E-06	2831.02
6.14255E-06	2827.12
6.14663E-06	2772.25
6.14926E-06	2727.77
6.15101E-06	2697.97
6.15451E-06	2627.62
6.15539E-06	2609.95
6.15889E-06	2529.95
6.15977E-06	2509.88
6.16327E-06	2420.76
6.16561E-06	2361.17
6.16911E-06	2264.35
6.17144E-06	2199.64
6.17494E-06	2097.46
6.18370E-06	1841.46
6.19187E-06	1602.24
6.19771E-06	1439.32
6.20121E-06	1346.96
6.20354E-06	1285.46
6.20792E-06	1177.15
6.20997E-06	1129.68
6.21230E-06	1075.52
6.21580E-06	999.795
